Période;Mariages;Codes
1996-01;6259;A
1996-02;8357;A
1996-03;10700;A
1996-04;16998;A
1996-05;23102;A
1996-06;57494;A
1996-07;47158;A
1996-08;45600;A
1996-09;30866;A
1996-10;16193;A
1996-11;10920;A
1996-12;13497;A
1997-01;6072;A
1997-02;8611;A
1997-03;10114;A
1997-04;16502;A
1997-05;26905;A
1997-06;53397;A
1997-07;51554;A
1997-08;46227;A
1997-09;32202;A
1997-10;16637;A
1997-11;9893;A
1997-12;13049;A
1998-01;6725;A
1998-02;10475;A
1998-03;8708;A
1998-04;16536;A
1998-05;28254;A
1998-06;45693;A
1998-07;48469;A
1998-08;43373;A
1998-09;32850;A
1998-10;16965;A
1998-11;8400;A
1998-12;12077;A
1999-01;7122;A
1999-02;9987;A
1999-03;9174;A
1999-04;18539;A
1999-05;25447;A
1999-06;48270;A
1999-07;58532;A
1999-08;39974;A
1999-09;35203;A
1999-10;18056;A
1999-11;9734;A
1999-12;13506;A
2000-01;8701;A
2000-02;9466;A
2000-03;9219;A
2000-04;21188;A
2000-05;23740;A
2000-06;52614;A
2000-07;59905;A
2000-08;40135;A
2000-09;40521;A
2000-10;15906;A
2000-11;9580;A
2000-12;14259;A
2001-01;7677;A
2001-02;9772;A
2001-03;11593;A
2001-04;17977;A
2001-05;23652;A
2001-06;62272;A
2001-07;43515;A
2001-08;41061;A
2001-09;40718;A
2001-10;14927;A
2001-11;9120;A
2001-12;13436;A
2002-01;6761;A
2002-02;8994;A
2002-03;11116;A
2002-04;15453;A
2002-05;26634;A
2002-06;55101;A
2002-07;43643;A
2002-08;47115;A
2002-09;31675;A
2002-10;16380;A
2002-11;10209;A
2002-12;13088;A
2003-01;7153;A
2003-02;8894;A
2003-03;11275;A
2003-04;16572;A
2003-05;28721;A
2003-06;51459;A
2003-07;44215;A
2003-08;44743;A
2003-09;31567;A
2003-10;16384;A
2003-11;9046;A
2003-12;12727;A
2004-01;7653;A
2004-02;10109;A
2004-03;8896;A
2004-04;18463;A
2004-05;27445;A
2004-06;47488;A
2004-07;53169;A
2004-08;36137;A
2004-09;31926;A
2004-10;16831;A
2004-11;8657;A
2004-12;11665;A
2005-01;7620;A
2005-02;8670;A
2005-03;9360;A
2005-04;18236;A
2005-05;25143;A
2005-06;49502;A
2005-07;56143;A
2005-08;37767;A
2005-09;32949;A
2005-10;16368;A
2005-11;9029;A
2005-12;12249;A
2006-01;6940;A
2006-02;8001;A
2006-03;8627;A
2006-04;18795;A
2006-05;24866;A
2006-06;48076;A
2006-07;53523;A
2006-08;35654;A
2006-09;35913;A
2006-10;13234;A
2006-11;8354;A
2006-12;11931;A
2007-01;6574;A
2007-02;7312;A
2007-03;10159;A
2007-04;16039;A
2007-05;24574;A
2007-06;56425;A
2007-07;46146;A
2007-08;35423;A
2007-09;36636;A
2007-10;14181;A
2007-11;8739;A
2007-12;11461;A
2008-01;5687;A
2008-02;7830;A
2008-03;9837;A
2008-04;15098;A
2008-05;28890;A
2008-06;46790;A
2008-07;44124;A
2008-08;44044;A
2008-09;28757;A
2008-10;15504;A
2008-11;8763;A
2008-12;10080;A
2009-01;6216;A
2009-02;8644;A
2009-03;7774;A
2009-04;14275;A
2009-05;29609;A
2009-06;42503;A
2009-07;42827;A
2009-08;36713;A
2009-09;29194;A
2009-10;16405;A
2009-11;7669;A
2009-12;9649;A
2010-01;6116;A
2010-02;7018;A
2010-03;7644;A
2010-04;15898;A
2010-05;25254;A
2010-06;43747;A
2010-07;48752;A
2010-08;32282;A
2010-09;29046;A
2010-10;17198;A
2010-11;8137;A
2010-12;10562;A
2011-01;5648;A
2011-02;6547;A
2011-03;7579;A
2011-04;16241;A
2011-05;20479;A
2011-06;41990;A
2011-07;44179;A
2011-08;30261;A
2011-09;29604;A
2011-10;16116;A
2011-11;7935;A
2011-12;10247;A
2012-01;6028;A
2012-02;7141;A
2012-03;9880;A
2012-04;16769;A
2012-05;26331;A
2012-06;42857;A
2012-07;32501;A
2012-08;31513;A
2012-09;36053;A
2012-10;14135;A
2012-11;9295;A
2012-12;13427;A
2013-01;5597;A
2013-02;6456;A
2013-03;10248;A
2013-04;14854;A
2013-05;24609;A
2013-06;39325;A
2013-07;32108;A
2013-08;36941;A
2013-09;30826;A
2013-10;15551;A
2013-11;10619;A
2013-12;11458;A
2014-01;6156;A
2014-02;8036;A
2014-03;10596;A
2014-04;14459;A
2014-05;26769;A
2014-06;38003;A
2014-07;33250;A
2014-08;37215;A
2014-09;29514;A
2014-10;15970;A
2014-11;9435;A
2014-12;11889;A
2015-01;6581;A
2015-02;8689;A
2015-03;8073;A
2015-04;15018;A
2015-05;28706;A
2015-06;32694;A
2015-07;34051;A
2015-08;34021;A
2015-09;30694;A
2015-10;18216;A
2015-11;8971;A
2015-12;10602;A
2016-01;6621;A
2016-02;7421;A
2016-03;8729;A
2016-04;16920;A
2016-05;24576;A
2016-06;31087;A
2016-07;39908;A
2016-08;29825;A
2016-09;28870;A
2016-10;18678;A
2016-11;8561;A
2016-12;11529;A
2017-01;6650;A
2017-02;7759;A
2017-03;8662;A
2017-04;18458;A
2017-05;22191;A
2017-06;31337;A
2017-07;40184;A
2017-08;28728;A
2017-09;34318;A
2017-10;15694;A
2017-11;8330;A
2017-12;11604;A
2018-01;6244;A
2018-02;7209;A
2018-03;10560;A
2018-04;15770;A
2018-05;23761;A
2018-06;38859;A
2018-07;30706;A
2018-08;30794;A
2018-09;33596;A
2018-10;16212;A
2018-11;8973;A
2018-12;12051;A
2019-01;5886;A
2019-02;6872;A
2019-03;9663;A
2019-04;15928;A
2019-05;18334;A
2019-06;42107;A
2019-07;30330;A
2019-08;31172;A
2019-09;28603;A
2019-10;16298;A
2019-11;9522;A
2019-12;10025;A
